IDTeme;PROGRAMNAJU;TEMATSKA OBLASTNAJU;Oblast akreditacije;TEMA;Datum početka;Datum završetka;Lokacija;Verifikacija;Broj realizovanih dana;Broj polaznika;Evaluacija opšta ocena;Tip obuke;Godina realizacije
2022-10-0107;POSEBNI PROGRAMI;JEDINSTVENI BIRAČKI SPISAK;JEDINSTVENI BIRAČKI SPISAK;Primena pravila opšteg upravnog postupka u postupcima jedinstvenog biračkog spiska;9.6.2022;9.6.2022;MDULS Webex;potvrda;1;71;3,76;Virtuelna učionica;2022
2022-02-1109;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;UPRAVLjANjE LjUDSKIM RESURSIMA;UPRAVLjANjE U JAVNOJ UPRAVI;POSTAVLjANjE ORGANIZACIONIH CILjEVA;10.6.2022;10.6.2022;Narodna Skupština;sertifikat;1;7;4,00;Klasična učionica;2022
2022-06-0317;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA ZAPOSLENIH U JEDINICAMA LOKALNE SAMOUPRAVE;POSLOVNA KOMUNIKACIJA;LIČNI RAZVOJ I VEŠTINE;KAKO DA ASERTIVNO KOMUNICIRAMO;10.6.2022;10.6.2022;Kanjiža;sertifikat;1;5;4,00;Klasična učionica;2022
2022-06-0403;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA ZAPOSLENIH U JEDINICAMA LOKALNE SAMOUPRAVE;UPRAVLjANjE PODACIMA;E-UPRAVA I DIGITALIZACIJA;KAKO DA KORISTITE PIVOT TABELE U EKSELU?;10.6.2022;10.6.2022;LMS Virtuelna učionica;sertifikat;1;26;3,85;Virtuelna učionica;2022
2022-07-0106;SEKTORSKI PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA ZAPOSLENIH U JEDINICAMA LOKALNE SAMOUPRAVE;PREVENCIJA KORUPCIJE;SISTEM JAVNE UPRAVE;ETIKA I INTEGRITET;10.6.2022;10.6.2022;LMS Virtuelna učionica;potvrda;1;25;3,80;Virtuelna učionica;2022
2022-06-0311;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA ZAPOSLENIH U JEDINICAMA LOKALNE SAMOUPRAVE;LIČNI RAZVOJ;LIČNI RAZVOJ I VEŠTINE;TIMOVI I TIMSKI RAD;13.6.2022;13.6.2022;LMS Virtuelna učionica;potvrda;1;38;3,79;Virtuelna učionica;2022
2022-07-0702;SEKTORSKI PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA ZAPOSLENIH U JEDINICAMA LOKALNE SAMOUPRAVE;UPRAVLjANjE LjUDSKIM RESURSIMA;SISTEM JAVNE UPRAVE;RADNI ODNOSI ZAPOSLENIH U LOKALNOJ SAMOUPRAVI – PRIMENA U PRAKSI;13.6.2022;13.6.2022;LMS Virtuelna učionica;potvrda;1;26;3,78;Virtuelna učionica;2022
2022-02-1902;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;POSLOVNA KOMUNIKACIJA;LIČNI RAZVOJ I VEŠTINE;KAKO DA ASERTIVNO KOMUNICIRAMO;14.6.2022;14.6.2022;NAJU;sertifikat;1;15;3,77;Klasična učionica;2022
2022-06-0320;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA ZAPOSLENIH U JEDINICAMA LOKALNE SAMOUPRAVE;POSLOVNA KOMUNIKACIJA;LIČNI RAZVOJ I VEŠTINE;MOĆ POVRATNE INFORMACIJE;14.6.2022;14.6.2022;LMS Virtuelna učionica;potvrda;1;51;3,87;Virtuelna učionica;2022
2022-07-0708;SEKTORSKI PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA ZAPOSLENIH U JEDINICAMA LOKALNE SAMOUPRAVE;UPRAVLjANjE LjUDSKIM RESURSIMA;SISTEM JAVNE UPRAVE;BEZBEDNOST I ZAŠTITA NA RADU;14.6.2022;14.6.2022;LMS Virtuelna učionica;potvrda;1;23;3,78;Virtuelna učionica;2022
2022-02-0811;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;FINANSIJSKO-MATERIJALNO POSLOVANjE;JAVNE FINANSIJE;RAD SA IZVEŠTAJIMA U OKVIRU CENTRALNOG INFORMACIONOG SISTEMA ZA OBRAČUN ZARADA – ISKRA;15.6.2022;15.6.2022;NAJU;sertifikat;1;18;3,68;Klasična učionica;2022
2022-07-0409;SEKTORSKI PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA ZAPOSLENIH U JEDINICAMA LOKALNE SAMOUPRAVE;UPRAVLjANjE FINANSIJAMA LOKALNE SAMOUPRAVE;JAVNE FINANSIJE;REVIZIJA, INTERNA REVIZIJA I UPRAVLjANjE REVIZIJOM;15.6.2022;15.6.2022;LMS Virtuelna učionica;potvrda;1;23;3,76;Virtuelna učionica;2022
2022-02-1110;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;UPRAVLjANjE LjUDSKIM RESURSIMA;UPRAVLjANjE U JAVNOJ UPRAVI;VREDNOVANjE RADNE USPEŠNOSTI;16.6.2022;16.6.2022;LMS Virtuelna učionica;sertifikat;1;38;3,63;Virtuelna učionica;2022
2022-02-2008;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;LIČNI RAZVOJ;LIČNI RAZVOJ I VEŠTINE;PLANIRANjE LIČNOG RAZVOJA I KARIJERE;16.6.2022;16.6.2022;NAJU;potvrda;1;8;3,97;Klasična učionica;2022
2022-06-0114;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA ZAPOSLENIH U JEDINICAMA LOKALNE SAMOUPRAVE;UPRAVNI POSTUPAK;SISTEM JAVNE UPRAVE;PRIMENA ZUP-A U PRAKSI;16.6.2022;16.6.2022;Leskovac;potvrda;1;7;3,64;Klasična učionica;2022
2022-02-0205;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;ZAŠTITA LjUDSKIH PRAVA I TAJNOSTI PODATAKA;SISTEM JAVNE UPRAVE;DISKRIMINACIJA PRED ORGANIMA JAVNE VLASTI;17.6.2022;17.6.2022;LMS Virtuelna učionica;sertifikat;1;23;3,57;Virtuelna učionica;2022
2022-02-2104;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;OBUKA REALIZATORA – TRENING AKADEMIJA;TRENING TRENERA;STUDIJA SLUČAJA – PRIPREMA I PRIMENA;17.6.2022;17.6.2022;NAJU;potvrda;1;3;4,00;Klasična učionica;2022
2022-02-0111;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;UPRAVA I JAVNE USLUGE;SISTEM JAVNE UPRAVE;ANALIZA I POPIS ADMINISTRATIVNIH ZAHTEVA - Popis administrativnih zahteva;20.6.2022;20.6.2022;NAJU;sertifikat;1;11;;Klasična učionica;2022
2022-02-1110;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;UPRAVLjANjE LjUDSKIM RESURSIMA;UPRAVLjANjE U JAVNOJ UPRAVI;VREDNOVANjE RADNE USPEŠNOSTI;20.6.2022;20.6.2022;Narodna Skupština;sertifikat;1;7;3,88;Klasična učionica;2022
2022-07-0113;SEKTORSKI PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA ZAPOSLENIH U JEDINICAMA LOKALNE SAMOUPRAVE;DOBRA UPRAVA;0;DOBRA UPRAVA – Vebinar;20.6.2022;21.6.2022;LMS Virtuelna učionica;sertifikat;2;11;3,44;Virtuelna učionica;2022
2022-02-1109;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;UPRAVLjANjE LjUDSKIM RESURSIMA;UPRAVLjANjE U JAVNOJ UPRAVI;POSTAVLjANjE ORGANIZACIONIH CILjEVA;21.6.2022;21.6.2022;Narodna Skupština;sertifikat;1;24;3,65;Klasična učionica;2022
2022-02-1110;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;UPRAVLjANjE LjUDSKIM RESURSIMA;UPRAVLjANjE U JAVNOJ UPRAVI;VREDNOVANjE RADNE USPEŠNOSTI;22.6.2022;22.6.2022;Narodna Skupština;sertifikat;1;23;3,79;Klasična učionica;2022
2022-02-1303;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;INOVACIJE I DIGITALNO DOBA;UPRAVLjANjE MEĐUNARODNOM RAZVOJNOM POMOĆI I FONDOVIMA EU;PROGRAMIRANjE I IZRADA PROGRAMSKIH DOKUMENATA;22.6.2022;22.6.2022;LMS Virtuelna učionica;sertifikat;1;24;3,61;Virtuelna učionica;2022
2022-02-1503;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;INOVACIJE I DIGITALNO DOBA;E-UPRAVA I DIGITALIZACIJA;NAPREDNE BAZE PODATAKA;22.6.2022;24.6.2022;NAJU;sertifikat;3;5;3,96;Klasična učionica;2022
2022-02-1713;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;STRANI JEZICI;STRANI JEZICI;SPECIJALISTIČKI KURS ENGLESKOG JEZIKA – NIVO C1;22.6.2022;6.7.2022;NAJU;sertifikat;3;10;3,70;Klasična učionica;2022
2022-07-0502;SEKTORSKI PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA ZAPOSLENIH U JEDINICAMA LOKALNE SAMOUPRAVE;LOKALNI RAZVOJ I INVESTICIJE U LOKALNOJ SAMOUPRAVI;LOKALNI RAZVOJ I INVESTICIJE U LOKALNOJ SAMOUPRAVI ;INSTRUMENTI ZA PODSTICANjE PRIVREDNOG RAZVOJA I PODRŠKU PRIVREDI;22.6.2022;22.6.2022;LMS Virtuelna učionica;potvrda;1;15;3,64;Virtuelna učionica;2022
2022-02-0114;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;UPRAVA I JAVNE USLUGE;E-UPRAVA I DIGITALIZACIJA;ELEKTRONSKO KANCELARIJSKO POSLOVANjE;23.6.2022;23.6.2022;NAJU;potvrda;1;10;3,83;Klasična učionica;2022
2022-02-0301;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;PREVENCIJA KORUPCIJE;SISTEM JAVNE UPRAVE;ETIKA I INTEGRITET;23.6.2022;23.6.2022;LMS Virtuelna učionica;potvrda;1;36;3,74;Virtuelna učionica;2022
2022-02-1711;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;STRANI JEZICI;STRANI JEZICI;ENGLESKI JEZIK – NIVO B2;23.6.2022;15.9.2022;NAJU;sertifikat;22;15;4,00;Klasična učionica;2022
2022-02-1901;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;POSLOVNA KOMUNIKACIJA;LIČNI RAZVOJ I VEŠTINE;VEŠTINE KOMUNIKACIJE;23.6.2022;24.6.2022;NAJU;sertifikat;2;9;3,97;Klasična učionica;2022
2022-06-0118;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA ZAPOSLENIH U JEDINICAMA LOKALNE SAMOUPRAVE;INSPEKCIJSKI NADZOR;SISTEM JAVNE UPRAVE;INSPEKCIJSKI NADZOR - VEŠTINE KOMUNIKACIJE I PROFESIONALNOG PONAŠANjA INSPEKTORA;23.6.2022;24.6.2022;Čačak;sertifikat;2;8;4,00;Klasična učionica;2022
2022-07-0704;SEKTORSKI PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA ZAPOSLENIH U JEDINICAMA LOKALNE SAMOUPRAVE;UPRAVLjANjE LjUDSKIM RESURSIMA;UPRAVLjANjE U JAVNOJ UPRAVI;PLANIRANjE I ZAPOŠLjAVANjE;23.6.2022;23.6.2022;LMS Virtuelna učionica;potvrda;1;18;3,69;Virtuelna učionica;2022
2022-10-0113;POSEBNI PROGRAMI;LIČNI RAZVOJ;RAZVOJ LIČNIH VEŠTINA;Timovi i timski rad;23.6.2022;23.6.2022;MDULS Webex;potvrda;1;48;3,89;Virtuelna učionica;2022
2022-02-0111;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;UPRAVA I JAVNE USLUGE;SISTEM JAVNE UPRAVE;ANALIZA I POPIS ADMINISTRATIVNIH ZAHTEVA - Popis administrativnih zahteva;24.6.2022;24.6.2022;NAJU;sertifikat;1;7;;Klasična učionica;2022
2022-02-1202;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;MEĐUNARODNA SARADNjA I EVROPSKE INTEGRACIJE;EVROPSKE INTEGRACIJE I MEĐUNARODNA SARADNjA;PRIMENA SPORAZUMA O STABILIZACIJI I PRIDRUŽIVANjU (SSP);24.6.2022;24.6.2022;LMS Virtuelna učionica;sertifikat;1;27;3,75;Virtuelna učionica;2022
2022-02-1607;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;INOVACIJE I DIGITALNO DOBA;E-UPRAVA I DIGITALIZACIJA, SISTEM JAVNE UPRAVE (IK2022);ANALITIČKI SERVIS - OSNOVNI ALAT ZA UPOTREBU PODATAKA NA NIVOU JLS;24.6.2022;24.6.2022;LMS Virtuelna učionica;potvrda;1;17;3,57;Virtuelna učionica;2022
2022-07-0408;SEKTORSKI PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA ZAPOSLENIH U JEDINICAMA LOKALNE SAMOUPRAVE;UPRAVLjANjE FINANSIJAMA LOKALNE SAMOUPRAVE;JAVNE FINANSIJE;FINANSIJSKO UPRAVLjANjE I KONTROLA U LOKALNOJ SAMOUPRAVI;24.6.2022;24.6.2022;LMS Virtuelna učionica;potvrda;1;15;3,61;Virtuelna učionica;2022
2022-02-1107;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;UPRAVLjANjE LjUDSKIM RESURSIMA;UPRAVLjANjE U JAVNOJ UPRAVI;NAPREDNA OBUKA ZA POSMATRAČE U CENTRIMA ZA PROCENU KANDIDATA;27.6.2022;28.6.2022;NAJU;sertifikat;2;5;4,00;Klasična učionica;2022
2022-07-0503;SEKTORSKI PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA ZAPOSLENIH U JEDINICAMA LOKALNE SAMOUPRAVE;LOKALNI RAZVOJ I INVESTICIJE U LOKALNOJ SAMOUPRAVI;LOKALNI RAZVOJ I INVESTICIJE U LOKALNOJ SAMOUPRAVI ;PRIVLAČENjE I UPRAVLjANjE INVESTICIJAMA;28.6.2022;28.6.2022;LMS Virtuelna učionica;potvrda;1;14;3,74;Virtuelna učionica;2022
2022-02-0114;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;UPRAVA I JAVNE USLUGE;E-UPRAVA I DIGITALIZACIJA;ELEKTRONSKO KANCELARIJSKO POSLOVANjE;29.6.2022;29.6.2022;NAJU;potvrda;1;7;3,73;Klasična učionica;2022
2022-06-0301;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA ZAPOSLENIH U JEDINICAMA LOKALNE SAMOUPRAVE;LIČNI RAZVOJ;LIČNI RAZVOJ I VEŠTINE;OTKRIJTE SVOJE „NAJBOLjE JA“;29.6.2022;29.6.2022;LMS Virtuelna učionica;potvrda;1;47;3,92;Virtuelna učionica;2022
2022-07-0501;SEKTORSKI PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA ZAPOSLENIH U JEDINICAMA LOKALNE SAMOUPRAVE;LOKALNI RAZVOJ I INVESTICIJE U LOKALNOJ SAMOUPRAVI;LOKALNI RAZVOJ I INVESTICIJE U LOKALNOJ SAMOUPRAVI ;OSNOVE LOKALNOG EKONOMSKOG RAZVOJA;29.6.2022;29.6.2022;LMS Virtuelna učionica;potvrda;1;5;4,00;Virtuelna učionica;2022
2022-02-0114;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;UPRAVA I JAVNE USLUGE;E-UPRAVA I DIGITALIZACIJA;ELEKTRONSKO KANCELARIJSKO POSLOVANjE;30.6.2022;30.6.2022;NAJU;potvrda;1;8;4,00;Klasična učionica;2022
2022-02-0302;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;INOVACIJE I DIGITALNO DOBA;SISTEM JAVNE UPRAVE;SPREČAVANjE SUKOBA INTERESA, PROVERA IMOVINE I PRIHODA FUNKCIONERA, REGISTRI I LOBIRANjE U REPUBLICI SRBIJI;30.6.2022;30.6.2022;LMS Virtuelna učionica;potvrda;1;16;3,78;Virtuelna učionica;2022
2022-02-1120;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;LIČNI RAZVOJ;LIČNI RAZVOJ I VEŠTINE;U PAR KORAKA DO OČUVANjA FIZIČKOG ZDRAVLjA NA RADU;30.6.2022;30.6.2022;NAJU;potvrda;1;5;3,95;Klasična učionica;2022
2022-02-0805;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;RODNA RAVNORAVNOST;JAVNE FINANSIJE;RODNO ODGOVORNO BUDžETIRANjE;1.7.2022;-;LMS;onlajn sertifikat;0;30;;Onlajn obuka;2022
2022-02-0805;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;RODNA RAVNORAVNOST;JAVNE FINANSIJE;RODNO ODGOVORNO BUDžETIRANjE;1.7.2022;-;LMS;onlajn sertifikat;0;208;;Onlajn obuka;2023
2022-02-1710;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;STRANI JEZICI;STRANI JEZICI;ENGLESKI JEZIK – NIVO B1;1.7.2022;16.9.2022;NAJU;sertifikat;22;6;3,90;Klasična učionica;2022
2022-06-0401;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA ZAPOSLENIH U JEDINICAMA LOKALNE SAMOUPRAVE;UPRAVA I JAVNE USLUGE;E-UPRAVA I DIGITALIZACIJA;ELEKTRONSKI DOKUMENT, ELEKTRONSKA IDENTIFIKACIJA I USLUGE OD POVERENjA U ELEKTRONSKOM POSLOVANjU;1.7.2022;1.7.2022;LMS Virtuelna učionica;potvrda;1;39;3,72;Virtuelna učionica;2022
2022-07-0603;SEKTORSKI PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA ZAPOSLENIH U JEDINICAMA LOKALNE SAMOUPRAVE;UPRAVLjANjE PROJEKTIMA;UPRAVLjANjE MEĐUNARODNOM RAZVOJNOM POMOĆI I FONDOVIMA EU;SPROVOĐENjE PROJEKATA U SKLADU SA PROCEDURAMA EU;1.7.2022;1.7.2022;LMS Virtuelna učionica;potvrda;1;11;3,73;Virtuelna učionica;2022
2022-02-0301;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;PREVENCIJA KORUPCIJE;SISTEM JAVNE UPRAVE;ETIKA I INTEGRITET;4.7.2022;4.7.2022;LMS Virtuelna učionica;potvrda;1;42;3,73;Virtuelna učionica;2022
2022-02-1205;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;MEĐUNARODNA SARADNjA I EVROPSKE INTEGRACIJE;EVROPSKE INTEGRACIJE I MEĐUNARODNA SARADNjA;KOHEZIONA POLITIKA EU - UVOD - Cohesion Fund;4.7.2022;5.7.2022;Zoom;potvrda;2;20;;Virtuelna učionica;2022
2022-02-1604;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;UPRAVLjANjE PODACIMA;E-UPRAVA I DIGITALIZACIJA;KAKO DA KORISTITE PIVOT TABELE U EKSELU?;4.7.2022;4.7.2022;LMS Virtuelna učionica;sertifikat;1;25;3,69;Virtuelna učionica;2022
2022-07-0106;SEKTORSKI PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA ZAPOSLENIH U JEDINICAMA LOKALNE SAMOUPRAVE;PREVENCIJA KORUPCIJE;SISTEM JAVNE UPRAVE;ETIKA I INTEGRITET;4.7.2022;4.7.2022;LMS Virtuelna učionica;potvrda;1;23;3,79;Virtuelna učionica;2022
2022-02-1817;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;DIGITALNA PISMENOST;E-UPRAVA I DIGITALIZACIJA;POWERPOINT PREZENTACIJE;5.7.2022;6.7.2022;NAJU;sertifikat;2;9;3,96;Klasična učionica;2022
2022-07-0702;SEKTORSKI PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA ZAPOSLENIH U JEDINICAMA LOKALNE SAMOUPRAVE;UPRAVLjANjE LjUDSKIM RESURSIMA;SISTEM JAVNE UPRAVE;RADNI ODNOSI ZAPOSLENIH U LOKALNOJ SAMOUPRAVI – PRIMENA U PRAKSI;5.7.2022;5.7.2022;LMS Virtuelna učionica;potvrda;1;18;3,75;Virtuelna učionica;2022
2022-02-0702;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;UPRAVNI POSTUPAK;SISTEM JAVNE UPRAVE;OPŠTI UPRAVNI POSTUPAK;6.7.2022;8.7.2022;NAJU;sertifikat;3;15;3,93;Klasična učionica;2022
2022-07-0408;SEKTORSKI PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA ZAPOSLENIH U JEDINICAMA LOKALNE SAMOUPRAVE;UPRAVLjANjE FINANSIJAMA LOKALNE SAMOUPRAVE;JAVNE FINANSIJE;FINANSIJSKO UPRAVLjANjE I KONTROLA U LOKALNOJ SAMOUPRAVI;6.7.2022;6.7.2022;LMS Virtuelna učionica;potvrda;1;11;3,62;Virtuelna učionica;2022
2022-02-1302;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;UPRAVLjANjE PROGRAMIMA I PROJEKTIMA I MEĐUNARODOM RAZVOJNOM POMOĆI;UPRAVLjANjE MEĐUNARODNOM RAZVOJNOM POMOĆI I FONDOVIMA EU;UPRAVLjANjE PROJEKTNIM CIKLUSOM - Information and communications technology (ICT) for project managers;7.7.2022;8.7.2022;NAJU;sertifikat;2;13;;Klasična učionica;2022
2022-02-1505;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;INOVACIJE I DIGITALNO DOBA;E-UPRAVA I DIGITALIZACIJA;"OSNOVE ""HTML""";7.7.2022;8.7.2022;NAJU;sertifikat;2;12;3,91;Klasična učionica;2022
2022-07-0801;SEKTORSKI PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA ZAPOSLENIH U JEDINICAMA LOKALNE SAMOUPRAVE;OSTVARIVANjE, ZAŠTITA I UNAPREĐENjE LjUDSKIH I MANjINSKIH PRAVA;SISTEM JAVNE UPRAVE;ZAŠTITA OD DISKRIMINACIJE PRED ORGANIMA JEDINICA LOKALNE SAMOUPRAVE;7.7.2022;7.7.2022;LMS Virtuelna učionica;potvrda;1;17;3,87;Virtuelna učionica;2022
2022-02-0207;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;INOVACIJE I DIGITALNO DOBA;SISTEM JAVNE UPRAVE;RODNA RAVNOPRAVNOST;8.7.2022;8.7.2022;LMS Virtuelna učionica;sertifikat;1;37;3,66;Virtuelna učionica;2022
2022-02-0402;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;JAVNE POLITIKE;SISTEM JAVNE UPRAVE;JAVNE POLITIKE - KREIRANjE, SPROVOĐENjE I ANALIZA EFEKATA;11.7.2022;12.7.2022;LMS Virtuelna učionica;sertifikat;2;15;3,49;Virtuelna učionica;2022
2022-02-1605;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA DRŽAVNIH SLUŽBENIKA U DRŽAVNIM ORGANIMA;INOVACIJE I DIGITALNO DOBA;E-UPRAVA I DIGITALIZACIJA;"STATISTIČKA OBRADA PODATAKA POMOĆU PROGRAMA ""SPSS""";11.7.2022;12.7.2022;NAJU;sertifikat;2;13;3,87;Klasična učionica;2022
2022-07-0113-1;POSEBNI DOGAĐAJI;MASTER KLAS;0;11. u 11č TAJNE VATIKANSKE JAVNE UPRAVE;11.7.2022;11.7.2022;NAJU i Zoom;bez potvrde;1;220;;Hibridna konferencija;2022
2022-07-0506;SEKTORSKI PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA ZAPOSLENIH U JEDINICAMA LOKALNE SAMOUPRAVE;LOKALNI RAZVOJ I INVESTICIJE U LOKALNOJ SAMOUPRAVI;LOKALNI RAZVOJ I INVESTICIJE U LOKALNOJ SAMOUPRAVI ;JAVNO-PRIVATNO PARTNERSTVO U LOKALNOJ SAMOUPRAVI;11.7.2022;11.7.2022;LMS Virtuelna učionica;potvrda;1;19;3,58;Virtuelna učionica;2022
2022-06-0405;PROGRAM KONTINUIRANOG STRUČNOG USAVRŠAVANjA ZAPOSLENIH U JEDINICAMA LOKALNE SAMOUPRAVE;INOVACIJE I DIGITALNO DOBA;E-UPRAVA I DIGITALIZACIJA;IT SIGURNOST;12.7.2022;12.7.2022;LMS Virtuelna učionica;sertifikat;1;46;3,94;Virtuelna učionica;2022
